Year,S.No,STATE,DISTRICT,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,EGWE
2024-25,131,DELHI,SOUTH EAST,0,2397.71,0,2397.71,,1883.037302,,1883.037302,,12.74,,12.74,,220.1652,,220.1652,2115.942502
2024-25,132,DELHI,SOUTH WEST,0,6641.81,0,6641.81,,1906.7235,,1906.7235,,0,,0,,3981.46,,3981.46,5888.1835
2024-25,133,DELHI,WEST,0,3535,0,3535,,2538.545402,,2538.545402,,0.6,,0.6,,731.977,,731.977,3271.122402
2024-25,134,GOA,GOA NORTH,3060.48,10135.87,0,13196.35,288.3512228,1535.606538,,1823.957761,21.3077,84.241,,105.5487,194.67,1480.68,,1675.35,3604.856461
2024-25,135,GOA,SOUTH GOA,2232.42,15072.57,0,17304.99,203.234336,1995.41861,,2198.652946,31.75431,343.68323,,375.43754,73.17,853.2,,926.37,3500.460486
2024-25,136,GUJARAT,AHMEDABAD,42258.26,0,472109.66,514367.92,6896.910321,,2148.199589,9045.10991,3489.56584,,0,3489.56584,24586.2,,42485.4,67071.6,79606.27575
2024-25,137,GUJARAT,AMRELI,144664.55,0,1748.42,146412.97,1216.97954,,37.41666197,1254.396202,73.64643,,0,73.64643,81614.4,,1359.4,82973.8,84301.84263
2024-25,138,GUJARAT,ANAND,110794.74,0,15518.21,126312.95,3626.22869,,518.8754292,4145.104119,2623.69568,,0,2623.69568,26367.9,,4260.4,30628.3,37397.0998
2024-25,139,GUJARAT,ARVALLI,86429.06,0,0,86429.06,2089.119963,,,2089.119963,25.051775,,,25.051775,35907.6,,,35907.6,38021.77174
2024-25,140,GUJARAT,BANASKANTHA,118909.66,0,57014.14,175923.8,4343.006993,,866.9237417,5209.930735,41.79299,,0,41.79299,140057.2,,44688.15,184745.35,189997.0737
2024-25,141,GUJARAT,BHARUCH,63557.66,0,24637.27,88194.93,1857.286425,,626.2959274,2483.582353,1339.772865,,0,1339.772865,14124.7,,3579,17703.7,21527.05522
2024-25,142,GUJARAT,BHAVNAGAR,106253.72,0,13772.22,120025.94,3237.45063,,726.2222803,3963.67291,79.120035,,0,79.120035,44384.8,,5177.2,49562,53604.79295
2024-25,143,GUJARAT,BOTAD,43035.49,0,6615.71,49651.2,919.7673019,,113.6231585,1033.39046,16.58125,,0,16.58125,23708.1,,3905.2,27613.3,28663.27171
2024-25,144,GUJARAT,CHHOTA UDEPUR,56983.89,0,0,56983.89,2264.803198,,,2264.803198,1.1315,,,1.1315,23578.4,,,23578.4,25844.3347
2024-25,145,GUJARAT,DAHOD,34036.87,0,0,34036.87,2360.333076,,,2360.333076,3.3065,,,3.3065,11500.8,,,11500.8,13864.43958
2024-25,146,GUJARAT,DANG,31191.34,0,0,31191.34,502.8530033,,,502.8530033,1.2775,,,1.2775,3451.7,,,3451.7,3955.830503
2024-25,147,GUJARAT,DEVBHUMI DWARKA,43593.3,0,5026.28,48619.58,1600.119325,,100.3591156,1700.478441,100.281703,,0,100.281703,28955.7,,2957.7,31913.4,33714.16014
2024-25,148,GUJARAT,GANDHINAGAR,57791.12,0,1603.13,59394.25,1365,,,1365,926.1433,,,926.1433,62018,,,62018,64309.1433
2024-25,149,GUJARAT,GIR SOMNATH,70296.46,0,4291.02,74587.48,3032.202891,,28.89139707,3061.094288,77.0004,,0,77.0004,31369.5,,1458,32827.5,35965.59469
2024-25,150,GUJARAT,JAMNAGAR,130650.96,0,5255.16,135906.12,2453.553332,,95.68954332,2549.242875,46.4186,,0,46.4186,54491.6,,4340.4,58832,61427.66147
