Year,S.No,STATE,DISTRICT,RR_Tot
2024-25,455,TAMILNADU,MADURAI,866.5378429
2024-25,456,TAMILNADU,MAYILADUTHURAI,1327.383818
2024-25,457,TAMILNADU,NAGAPATTINAM,1363.186424
2024-25,458,TAMILNADU,NAMAKKAL,706.7318921
2024-25,459,TAMILNADU,PERAMBALUR,893.5638325
2024-25,460,TAMILNADU,PUDUKKOTTAI,835.3903716
2024-25,461,TAMILNADU,RAMANATHAPURAM,770.6524325
2024-25,462,TAMILNADU,RANIPET,1040.427015
2024-25,463,TAMILNADU,SALEM,883.3774102
2024-25,464,TAMILNADU,SIVAGANGAI,885.4756728
2024-25,465,TAMILNADU,TENKASI,811.3871263
2024-25,466,TAMILNADU,THANJAVUR,1033.32719
2024-25,467,TAMILNADU,THE NILGIRIS,1801.776605
2024-25,468,TAMILNADU,THENI,760.1229493
2024-25,469,TAMILNADU,THIRUVARUR,1210.434613
2024-25,470,TAMILNADU,THOOTHUKUDI,620.6298923
2024-25,471,TAMILNADU,TIRUCHIRAPPALLI,751.4777238
2024-25,472,TAMILNADU,TIRUNELVELI,965.075819
2024-25,473,TAMILNADU,TIRUPATHUR,801.2768963
2024-25,474,TAMILNADU,TIRUPPUR,632.2723162
2024-25,475,TAMILNADU,TIRUVALLUR,1237.586149
2024-25,476,TAMILNADU,TIRUVANNAMALAI,1073.219585
2024-25,477,TAMILNADU,VELLORE,970.5973003
2024-25,478,TAMILNADU,VILLUPURAM,1042.845547
2024-25,479,TAMILNADU,VIRUDHUNAGAR,777.86383
2024-25,480,TELANGANA,Adilabad,1267.499022
2024-25,481,TELANGANA,Bhadradri Kothagudem,1188.204332
2024-25,482,TELANGANA,Hanumakonda,989.3211425
2024-25,483,TELANGANA,Hyderabad,828.1035855
2024-25,484,TELANGANA,Jagtial,1014.259533
2024-25,485,TELANGANA,Jangaon,893.5572718
2024-25,486,TELANGANA,Jayashankar Bhupalapally,1066.595014
2024-25,487,TELANGANA,Jogulamba Gadwal,578.0184468
2024-25,488,TELANGANA,Kamareddy,999.8641521
2024-25,489,TELANGANA,Karimnagar,905.1293557
2024-25,490,TELANGANA,Khammam,1036.619516
2024-25,491,TELANGANA,Komarambheem Asifabad,1135.341805
